Group,Industry,Professionals,NormalizedProfessionals,i.Professionals,ICT
Without MC,Accounting,54,0.00307832630258807,54,0
Without MC,Airlines/Aviation,71,0.00404742902747691,72,0
With MC,Airlines/Aviation,1,0.00166944908180301,72,0
Without MC,Apparel & Fashion,127,0.00723976741534603,129,0
With MC,Apparel & Fashion,2,0.00333889816360601,129,0
Without MC,Automotive,125,0.00712575533006499,130,0
With MC,Automotive,5,0.00834724540901502,130,0
Without MC,Aviation & Aerospace,114,0.00649868886101927,120,0
With MC,Aviation & Aerospace,6,0.010016694490818,120,0
Without MC,Banking,1694,0.0965682362330407,1747,0
With MC,Banking,53,0.0884808013355593,1747,0
Without MC,Biotechnology,218,0.0124273172956333,224,0
With MC,Biotechnology,6,0.010016694490818,224,0
Without MC,Broadcast Media,37,0.00210922357769924,40,0
With MC,Broadcast Media,3,0.00500834724540901,40,0
Without MC,Capital Markets,302,0.017215824877437,311,0
With MC,Capital Markets,9,0.015025041736227,311,0
Without MC,Chemicals,42,0.00239425379090184,45,0
With MC,Chemicals,3,0.00500834724540901,45,0
Without MC,Civic & Social Organization,36,0.00205221753505872,36,0
Without MC,Civil Engineering,30,0.0017101812792156,30,0
Without MC,Computer & Network Security,160,0.00912096682248318,162,1
With MC,Computer & Network Security,2,0.00333889816360601,162,1
Without MC,Computer Games,70,0.00399042298483639,74,1
With MC,Computer Games,4,0.00667779632721202,74,1
Without MC,Computer Hardware,32,0.00182419336449664,32,1
Without MC,Computer Networking,121,0.00689773115950291,123,1
With MC,Computer Networking,2,0.00333889816360601,123,1
Without MC,Computer Software,2818,0.160643028160985,2922,1
With MC,Computer Software,104,0.173622704507513,2922,1
Without MC,Construction,39,0.00222323566298028,40,0
With MC,Construction,1,0.00166944908180301,40,0
Without MC,Consumer Electronics,70,0.00399042298483639,70,1
Without MC,Consumer Goods,24,0.00136814502337248,26,0
With MC,Consumer Goods,2,0.00333889816360601,26,0
Without MC,Consumer Services,36,0.00205221753505872,38,0
With MC,Consumer Services,2,0.00333889816360601,38,0
With MC,Cosmetics,1,0.00166944908180301,1,0
Without MC,Defense & Space,36,0.00205221753505872,38,0
With MC,Defense & Space,2,0.00333889816360601,38,0
Without MC,Design,21,0.00119712689545092,22,0
With MC,Design,1,0.00166944908180301,22,0
Without MC,E-learning,128,0.00729677345798655,145,1
With MC,E-learning,17,0.0283806343906511,145,1
Without MC,Education Management,56,0.00319233838786911,61,0
With MC,Education Management,5,0.00834724540901502,61,0
Without MC,Electrical & Electronic Manufacturing,57,0.00324934443050963,58,1
With MC,Electrical & Electronic Manufacturing,1,0.00166944908180301,58,1
Without MC,Entertainment,71,0.00404742902747691,75,0
With MC,Entertainment,4,0.00667779632721202,75,0
Without MC,Environmental Services,47,0.00267928400410444,48,0
With MC,Environmental Services,1,0.00166944908180301,48,0
Without MC,Farming,26,0.00148215710865352,28,0
With MC,Farming,2,0.00333889816360601,28,0
Without MC,Financial Services,510,0.0290730817466651,532,0
With MC,Financial Services,22,0.0367278797996661,532,0
With MC,Fishery,1,0.00166944908180301,1,0
Without MC,Food & Beverages,9,0.000513054383764679,11,0
With MC,Food & Beverages,2,0.00333889816360601,11,0
Without MC,Food Production,52,0.00296431421730703,57,0
With MC,Food Production,5,0.00834724540901502,57,0
Without MC,Gambling & Casinos,20,0.0011401208528104,20,0
Without MC,Government Administration,471,0.0268498460836849,480,0
With MC,Government Administration,9,0.015025041736227,480,0
Without MC,"Health, Wellness & Fitness",58,0.00330635047315015,58,0
Without MC,Higher Education,1003,0.0571770607684415,1036,0
With MC,Higher Education,33,0.0550918196994992,1036,0
Without MC,Hospital & Health Care,315,0.0179569034317638,322,0
With MC,Hospital & Health Care,7,0.011686143572621,322,0
Without MC,Hospitality,22,0.00125413293809144,23,0
With MC,Hospitality,1,0.00166944908180301,23,0
Without MC,Human Resources,17,0.000969102724888838,17,0
Without MC,Individual & Family Services,8,0.000456048341124159,8,0
Without MC,Industrial Automation,37,0.00210922357769924,39,0
With MC,Industrial Automation,2,0.00333889816360601,39,0
Without MC,Information Services,179,0.0102040816326531,184,1
With MC,Information Services,5,0.00834724540901502,184,1
Without MC,Information Technology & Services,2284,0.130201801390947,2371,1
With MC,Information Technology & Services,87,0.145242070116861,2371,1
Without MC,Insurance,692,0.0394481815072398,710,0
With MC,Insurance,18,0.0300500834724541,710,0
Without MC,Internet,716,0.0408163265306122,745,1
With MC,Internet,29,0.0484140233722871,745,1
Without MC,Investment Banking,112,0.00638467677573823,112,0
Without MC,Investment Management,221,0.0125983354235549,226,0
With MC,Investment Management,5,0.00834724540901502,226,0
Without MC,Law Enforcement,8,0.000456048341124159,8,0
Without MC,Legal Services,107,0.00609964656253563,109,0
With MC,Legal Services,2,0.00333889816360601,109,0
Without MC,"Leisure, Travel & Tourism",34,0.00193820544977768,34,0
Without MC,Logistics & Supply Chain,40,0.0022802417056208,40,0
Without MC,Machinery,39,0.00222323566298028,39,0
Without MC,Management Consulting,320,0.0182419336449664,329,0
With MC,Management Consulting,9,0.015025041736227,329,0
With MC,Maritime,1,0.00166944908180301,1,0
Without MC,Market Research,45,0.0025652719188234,48,0
With MC,Market Research,3,0.00500834724540901,48,0
Without MC,Marketing & Advertising,373,0.0212632539049139,383,0
With MC,Marketing & Advertising,10,0.01669449081803,383,0
Without MC,Mechanical Or Industrial Engineering,30,0.0017101812792156,33,0
With MC,Mechanical Or Industrial Engineering,3,0.00500834724540901,33,0
Without MC,Media Production,17,0.000969102724888838,18,1
With MC,Media Production,1,0.00166944908180301,18,1
Without MC,Medical Device,106,0.00604264051989511,108,0
With MC,Medical Device,2,0.00333889816360601,108,0
Without MC,Medical Practice,15,0.000855090639607798,15,0
Without MC,Mental Health Care,17,0.000969102724888838,17,0
Without MC,Military,50,0.00285030213202599,50,0
Without MC,Mining & Metals,152,0.00866491848135902,154,0
With MC,Mining & Metals,2,0.00333889816360601,154,0
Without MC,Mobile Games,72,0.00410443507011743,75,1
With MC,Mobile Games,3,0.00500834724540901,75,1
Without MC,Music,18,0.00102610876752936,19,0
With MC,Music,1,0.00166944908180301,19,0
Without MC,Non-profit Organization Management,107,0.00609964656253563,111,0
With MC,Non-profit Organization Management,4,0.00667779632721202,111,0
Without MC,Oil & Energy,202,0.011515220613385,206,0
With MC,Oil & Energy,4,0.00667779632721202,206,0
Without MC,Online Media,23,0.00131113898073196,26,1
With MC,Online Media,3,0.00500834724540901,26,1
Without MC,Outsourcing/Offshoring,19,0.00108311481016988,19,0
Without MC,Package/Freight Delivery,17,0.000969102724888838,18,0
With MC,Package/Freight Delivery,1,0.00166944908180301,18,0
Without MC,Paper & Forest Products,20,0.0011401208528104,20,0
Without MC,Pharmaceuticals,46,0.00262227796146392,46,0
Without MC,Philanthropy,9,0.000513054383764679,9,0
Without MC,Philanthropy,9,0.000513054383764679,1,0
Without MC,Photography,19,0.00108311481016988,20,0
With MC,Photography,1,0.00166944908180301,20,0
With MC,Plastics,1,0.00166944908180301,1,0
Without MC,Primary/Secondary Education,8,0.000456048341124159,8,0
Without MC,Professional Training & Coaching,50,0.00285030213202599,55,0
With MC,Professional Training & Coaching,5,0.00834724540901502,55,0
Without MC,Program Development,24,0.00136814502337248,24,0
Without MC,Public Policy,21,0.00119712689545092,22,0
With MC,Public Policy,1,0.00166944908180301,22,0
Without MC,Public Relations & Communications,11,0.000627066469045719,12,0
With MC,Public Relations & Communications,1,0.00166944908180301,12,0
Without MC,Public Safety,20,0.0011401208528104,20,0
Without MC,Publishing,30,0.0017101812792156,30,0
Without MC,Real Estate,92,0.00524455592292783,99,0
With MC,Real Estate,7,0.011686143572621,99,0
Without MC,Renewables & Environment,67,0.00381940485691483,67,0
Without MC,Research,492,0.0280469729791358,507,0
With MC,Research,15,0.0250417362270451,507,0
Without MC,Restaurants,27,0.00153916315129404,27,0
Without MC,Retail,260,0.0148215710865352,272,0
With MC,Retail,12,0.0200333889816361,272,0
Without MC,Security & Investigations,16,0.000912096682248318,16,0
Without MC,Semiconductors,139,0.00792383992703227,140,1
With MC,Semiconductors,1,0.00166944908180301,140,1
With MC,Shipbuilding,1,0.00166944908180301,1,0
Without MC,Sports,66,0.00376239881427431,74,0
With MC,Sports,8,0.013355592654424,74,0
Without MC,Staffing & Recruiting,45,0.0025652719188234,48,0
With MC,Staffing & Recruiting,3,0.00500834724540901,48,0
Without MC,Supermarkets,28,0.00159616919393456,29,0
With MC,Supermarkets,1,0.00166944908180301,29,0
Without MC,Telecommunications,568,0.0323794322198153,584,1
With MC,Telecommunications,16,0.0267111853088481,584,1
Without MC,Textiles,6,0.000342036255843119,6,0
Without MC,Think Tanks,15,0.000855090639607798,16,0
With MC,Think Tanks,1,0.00166944908180301,16,0
Without MC,Translation & Localization,10,0.000570060426405199,10,0
Without MC,Transportation/Trucking/Railroad,86,0.00490251966708471,88,0
With MC,Transportation/Trucking/Railroad,2,0.00333889816360601,88,0
Without MC,Utilities,81,0.00461748945388211,84,0
With MC,Utilities,3,0.00500834724540901,84,0
Without MC,Venture Capital & Private Equity,25,0.001425151066013,25,0
Without MC,Wholesale,19,0.00108311481016988,19,0
Without MC,Wine & Spirits,31,0.00176718732185612,32,0
With MC,Wine & Spirits,1,0.00166944908180301,32,0
Without MC,Wireless,12,0.000684072511686239,12,1
